px,item,order,lifetime,tense,congruence,tt,gaze,rpd,region,region_num,rating,condition,rt_value,bio,critical,rating_px
2,33,39,living,Present Perfect,Congruent,183,183,183,verb,2,6,livingPP,1731,"Stephen King is an American author. He lives in Bangor, Maine.","He *has released* well-received* bestsellers *in the past*, so it's said.",2.57446808510638
2,33,39,living,Present Perfect,Congruent,591,254,254,verb+1,3,6,livingPP,1731,"Stephen King is an American author. He lives in Bangor, Maine.","He *has released* well-received* bestsellers *in the past*, so it's said.",2.57446808510638
2,33,39,living,Present Perfect,Congruent,216,125,297,verb+2,4,6,livingPP,1731,"Stephen King is an American author. He lives in Bangor, Maine.","He *has released* well-received* bestsellers *in the past*, so it's said.",2.57446808510638
2,33,39,living,Present Perfect,Congruent,231,231,231,verb+3,5,6,livingPP,1731,"Stephen King is an American author. He lives in Bangor, Maine.","He *has released* well-received* bestsellers *in the past*, so it's said.",2.57446808510638
2,33,39,living,Present Perfect,Congruent,149,149,405,verb+4,6,6,livingPP,1731,"Stephen King is an American author. He lives in Bangor, Maine.","He *has released* well-received* bestsellers *in the past*, so it's said.",2.57446808510638
2,33,39,living,Present Perfect,Congruent,NA,NA,NA,end,7,6,livingPP,1731,"Stephen King is an American author. He lives in Bangor, Maine.","He *has released* well-received* bestsellers *in the past*, so it's said.",2.57446808510638
2,55,42,living,Simple Future,Congruent,223,223,223,verb-1,1,6,livingSF,1740,Amy Schumer is American actor. She lives in New York.,"She *will star* in numerous* comedies *in the future*, no doubt.",2.57446808510638
2,55,42,living,Simple Future,Congruent,173,173,173,verb,2,6,livingSF,1740,Amy Schumer is American actor. She lives in New York.,"She *will star* in numerous* comedies *in the future*, no doubt.",2.57446808510638
2,55,42,living,Simple Future,Congruent,250,250,250,verb+1,3,6,livingSF,1740,Amy Schumer is American actor. She lives in New York.,"She *will star* in numerous* comedies *in the future*, no doubt.",2.57446808510638
2,55,42,living,Simple Future,Congruent,235,235,235,verb+2,4,6,livingSF,1740,Amy Schumer is American actor. She lives in New York.,"She *will star* in numerous* comedies *in the future*, no doubt.",2.57446808510638
2,55,42,living,Simple Future,Congruent,331,331,331,verb+3,5,6,livingSF,1740,Amy Schumer is American actor. She lives in New York.,"She *will star* in numerous* comedies *in the future*, no doubt.",2.57446808510638
2,55,42,living,Simple Future,Congruent,365,365,365,verb+4,6,6,livingSF,1740,Amy Schumer is American actor. She lives in New York.,"She *will star* in numerous* comedies *in the future*, no doubt.",2.57446808510638
2,55,42,living,Simple Future,Congruent,NA,NA,NA,end,7,6,livingSF,1740,Amy Schumer is American actor. She lives in New York.,"She *will star* in numerous* comedies *in the future*, no doubt.",2.57446808510638
2,26,44,dead,Present Perfect,Incongruent,NA,NA,NA,verb-1,1,6,deadPP,1717,Carrie Fischer was an American actor. She died in Los Angeles.,"She *has received* well-deserved* Oscar nominations *in the past*, so it's said.",2.57446808510638
2,26,44,dead,Present Perfect,Incongruent,289,289,289,verb,2,6,deadPP,1717,Carrie Fischer was an American actor. She died in Los Angeles.,"She *has received* well-deserved* Oscar nominations *in the past*, so it's said.",2.57446808510638
2,26,44,dead,Present Perfect,Incongruent,184,184,184,verb+1,3,6,deadPP,1717,Carrie Fischer was an American actor. She died in Los Angeles.,"She *has received* well-deserved* Oscar nominations *in the past*, so it's said.",2.57446808510638
2,26,44,dead,Present Perfect,Incongruent,249,249,249,verb+2,4,6,deadPP,1717,Carrie Fischer was an American actor. She died in Los Angeles.,"She *has received* well-deserved* Oscar nominations *in the past*, so it's said.",2.57446808510638
2,26,44,dead,Present Perfect,Incongruent,150,150,150,verb+3,5,6,deadPP,1717,Carrie Fischer was an American actor. She died in Los Angeles.,"She *has received* well-deserved* Oscar nominations *in the past*, so it's said.",2.57446808510638
2,26,44,dead,Present Perfect,Incongruent,403,403,403,verb+4,6,6,deadPP,1717,Carrie Fischer was an American actor. She died in Los Angeles.,"She *has received* well-deserved* Oscar nominations *in the past*, so it's said.",2.57446808510638
2,26,44,dead,Present Perfect,Incongruent,NA,NA,NA,end,7,6,deadPP,1717,Carrie Fischer was an American actor. She died in Los Angeles.,"She *has received* well-deserved* Oscar nominations *in the past*, so it's said.",2.57446808510638
2,68,47,dead,Simple Future,Incongruent,213,213,213,verb-1,1,1,deadSF,1390,John Lennon was a British singer. He died in New York.,"He *will write* well-known* folk songs *in the future*, apparently.",2.57446808510638
2,68,47,dead,Simple Future,Incongruent,312,312,312,verb,2,1,deadSF,1390,John Lennon was a British singer. He died in New York.,"He *will write* well-known* folk songs *in the future*, apparently.",2.57446808510638
2,68,47,dead,Simple Future,Incongruent,NA,NA,NA,verb+1,3,1,deadSF,1390,John Lennon was a British singer. He died in New York.,"He *will write* well-known* folk songs *in the future*, apparently.",2.57446808510638
2,68,47,dead,Simple Future,Incongruent,260,260,260,verb+2,4,1,deadSF,1390,John Lennon was a British singer. He died in New York.,"He *will write* well-known* folk songs *in the future*, apparently.",2.57446808510638
2,68,47,dead,Simple Future,Incongruent,276,276,276,verb+3,5,1,deadSF,1390,John Lennon was a British singer. He died in New York.,"He *will write* well-known* folk songs *in the future*, apparently.",2.57446808510638
2,68,47,dead,Simple Future,Incongruent,169,169,169,verb+4,6,1,deadSF,1390,John Lennon was a British singer. He died in New York.,"He *will write* well-known* folk songs *in the future*, apparently.",2.57446808510638
2,68,47,dead,Simple Future,Incongruent,NA,NA,NA,end,7,1,deadSF,1390,John Lennon was a British singer. He died in New York.,"He *will write* well-known* folk songs *in the future*, apparently.",2.57446808510638
2,54,49,dead,Present Perfect,Incongruent,NA,NA,NA,verb-1,1,6,deadPP,1461,Alan Rickman was a British actor. He died in London.,"He *has starred* in well-received* dramas *in the past*, no doubt.",2.57446808510638
2,54,49,dead,Present Perfect,Incongruent,170,170,170,verb,2,6,deadPP,1461,Alan Rickman was a British actor. He died in London.,"He *has starred* in well-received* dramas *in the past*, no doubt.",2.57446808510638
2,54,49,dead,Present Perfect,Incongruent,352,352,352,verb+1,3,6,deadPP,1461,Alan Rickman was a British actor. He died in London.,"He *has starred* in well-received* dramas *in the past*, no doubt.",2.57446808510638
2,54,49,dead,Present Perfect,Incongruent,231,231,231,verb+2,4,6,deadPP,1461,Alan Rickman was a British actor. He died in London.,"He *has starred* in well-received* dramas *in the past*, no doubt.",2.57446808510638
2,54,49,dead,Present Perfect,Incongruent,NA,NA,NA,verb+3,5,6,deadPP,1461,Alan Rickman was a British actor. He died in London.,"He *has starred* in well-received* dramas *in the past*, no doubt.",2.57446808510638
2,54,49,dead,Present Perfect,Incongruent,378,378,378,verb+4,6,6,deadPP,1461,Alan Rickman was a British actor. He died in London.,"He *has starred* in well-received* dramas *in the past*, no doubt.",2.57446808510638
2,54,49,dead,Present Perfect,Incongruent,NA,NA,NA,end,7,6,deadPP,1461,Alan Rickman was a British actor. He died in London.,"He *has starred* in well-received* dramas *in the past*, no doubt.",2.57446808510638
2,46,52,dead,Present Perfect,Incongruent,NA,NA,NA,verb-1,1,2,deadPP,3650,Charlie Chaplin was a British director. He died in Switzerland.,"He *has sold* popular* screenplays *in the past*, no doubt.",2.57446808510638
2,46,52,dead,Present Perfect,Incongruent,819,278,278,verb,2,2,deadPP,3650,Charlie Chaplin was a British director. He died in Switzerland.,"He *has sold* popular* screenplays *in the past*, no doubt.",2.57446808510638
2,46,52,dead,Present Perfect,Incongruent,348,116,116,verb+1,3,2,deadPP,3650,Charlie Chaplin was a British director. He died in Switzerland.,"He *has sold* popular* screenplays *in the past*, no doubt.",2.57446808510638
2,46,52,dead,Present Perfect,Incongruent,546,190,190,verb+2,4,2,deadPP,3650,Charlie Chaplin was a British director. He died in Switzerland.,"He *has sold* popular* screenplays *in the past*, no doubt.",2.57446808510638
2,46,52,dead,Present Perfect,Incongruent,458,291,1587,verb+3,5,2,deadPP,3650,Charlie Chaplin was a British director. He died in Switzerland.,"He *has sold* popular* screenplays *in the past*, no doubt.",2.57446808510638
2,46,52,dead,Present Perfect,Incongruent,120,120,120,verb+4,6,2,deadPP,3650,Charlie Chaplin was a British director. He died in Switzerland.,"He *has sold* popular* screenplays *in the past*, no doubt.",2.57446808510638
2,46,52,dead,Present Perfect,Incongruent,NA,NA,NA,end,7,2,deadPP,3650,Charlie Chaplin was a British director. He died in Switzerland.,"He *has sold* popular* screenplays *in the past*, no doubt.",2.57446808510638
2,64,55,dead,Simple Future,Incongruent,240,240,240,verb-1,1,1,deadSF,1707,Elizabeth Taylor was a British-American actor. She died in Los Angeles.,"She *will win* well-deserved* BAFTAs *in the future*, apparently.",2.57446808510638
2,64,55,dead,Simple Future,Incongruent,288,288,288,verb,2,1,deadSF,1707,Elizabeth Taylor was a British-American actor. She died in Los Angeles.,"She *will win* well-deserved* BAFTAs *in the future*, apparently.",2.57446808510638
2,64,55,dead,Simple Future,Incongruent,292,292,292,verb+1,3,1,deadSF,1707,Elizabeth Taylor was a British-American actor. She died in Los Angeles.,"She *will win* well-deserved* BAFTAs *in the future*, apparently.",2.57446808510638
2,64,55,dead,Simple Future,Incongruent,121,121,121,verb+2,4,1,deadSF,1707,Elizabeth Taylor was a British-American actor. She died in Los Angeles.,"She *will win* well-deserved* BAFTAs *in the future*, apparently.",2.57446808510638
2,64,55,dead,Simple Future,Incongruent,318,318,318,verb+3,5,1,deadSF,1707,Elizabeth Taylor was a British-American actor. She died in Los Angeles.,"She *will win* well-deserved* BAFTAs *in the future*, apparently.",2.57446808510638
2,64,55,dead,Simple Future,Incongruent,206,206,206,verb+4,6,1,deadSF,1707,Elizabeth Taylor was a British-American actor. She died in Los Angeles.,"She *will win* well-deserved* BAFTAs *in the future*, apparently.",2.57446808510638
2,64,55,dead,Simple Future,Incongruent,NA,NA,NA,end,7,1,deadSF,1707,Elizabeth Taylor was a British-American actor. She died in Los Angeles.,"She *will win* well-deserved* BAFTAs *in the future*, apparently.",2.57446808510638
2,11,57,living,Simple Future,Congruent,NA,NA,NA,verb-1,1,6,livingSF,2342,Justin Timberlake is an American singer. He lives in Los Angeles.,"He *will perform* in numerous* packed stadiums *in the future*, supposedly.",2.57446808510638
2,11,57,living,Simple Future,Congruent,365,162,162,verb,2,6,livingSF,2342,Justin Timberlake is an American singer. He lives in Los Angeles.,"He *will perform* in numerous* packed stadiums *in the future*, supposedly.",2.57446808510638
2,11,57,living,Simple Future,Congruent,408,165,611,verb+1,3,6,livingSF,2342,Justin Timberlake is an American singer. He lives in Los Angeles.,"He *will perform* in numerous* packed stadiums *in the future*, supposedly.",2.57446808510638
2,11,57,living,Simple Future,Congruent,352,352,352,verb+2,4,6,livingSF,2342,Justin Timberlake is an American singer. He lives in Los Angeles.,"He *will perform* in numerous* packed stadiums *in the future*, supposedly.",2.57446808510638
2,11,57,living,Simple Future,Congruent,311,311,311,verb+3,5,6,livingSF,2342,Justin Timberlake is an American singer. He lives in Los Angeles.,"He *will perform* in numerous* packed stadiums *in the future*, supposedly.",2.57446808510638
2,11,57,living,Simple Future,Congruent,228,228,228,verb+4,6,6,livingSF,2342,Justin Timberlake is an American singer. He lives in Los Angeles.,"He *will perform* in numerous* packed stadiums *in the future*, supposedly.",2.57446808510638
2,11,57,living,Simple Future,Congruent,NA,NA,NA,end,7,6,livingSF,2342,Justin Timberlake is an American singer. He lives in Los Angeles.,"He *will perform* in numerous* packed stadiums *in the future*, supposedly.",2.57446808510638
2,59,60,living,Simple Future,Congruent,NA,NA,NA,verb-1,1,7,livingSF,1510,Malcolm Gladwell is a Canadian author. He lives in New York.,"He *will win* prestigious* literary awards *in the future*, no doubt.",2.57446808510638
2,59,60,living,Simple Future,Congruent,152,152,152,verb,2,7,livingSF,1510,Malcolm Gladwell is a Canadian author. He lives in New York.,"He *will win* prestigious* literary awards *in the future*, no doubt.",2.57446808510638
2,59,60,living,Simple Future,Congruent,146,146,146,verb+1,3,7,livingSF,1510,Malcolm Gladwell is a Canadian author. He lives in New York.,"He *will win* prestigious* literary awards *in the future*, no doubt.",2.57446808510638
2,59,60,living,Simple Future,Congruent,314,314,314,verb+2,4,7,livingSF,1510,Malcolm Gladwell is a Canadian author. He lives in New York.,"He *will win* prestigious* literary awards *in the future*, no doubt.",2.57446808510638
2,59,60,living,Simple Future,Congruent,257,257,257,verb+3,5,7,livingSF,1510,Malcolm Gladwell is a Canadian author. He lives in New York.,"He *will win* prestigious* literary awards *in the future*, no doubt.",2.57446808510638
2,59,60,living,Simple Future,Congruent,271,271,271,verb+4,6,7,livingSF,1510,Malcolm Gladwell is a Canadian author. He lives in New York.,"He *will win* prestigious* literary awards *in the future*, no doubt.",2.57446808510638
2,59,60,living,Simple Future,Congruent,NA,NA,NA,end,7,7,livingSF,1510,Malcolm Gladwell is a Canadian author. He lives in New York.,"He *will win* prestigious* literary awards *in the future*, no doubt.",2.57446808510638
2,7,62,living,Simple Future,Congruent,242,242,242,verb-1,1,6,livingSF,2290,Colin Firth is a British actor. He lives in London and Italy.,"He *will appear* in prominent* romantic comedies *in the future*, supposedly.",2.57446808510638
2,7,62,living,Simple Future,Congruent,236,236,236,verb,2,6,livingSF,2290,Colin Firth is a British actor. He lives in London and Italy.,"He *will appear* in prominent* romantic comedies *in the future*, supposedly.",2.57446808510638
2,7,62,living,Simple Future,Congruent,165,165,165,verb+1,3,6,livingSF,2290,Colin Firth is a British actor. He lives in London and Italy.,"He *will appear* in prominent* romantic comedies *in the future*, supposedly.",2.57446808510638
2,7,62,living,Simple Future,Congruent,417,417,417,verb+2,4,6,livingSF,2290,Colin Firth is a British actor. He lives in London and Italy.,"He *will appear* in prominent* romantic comedies *in the future*, supposedly.",2.57446808510638
2,7,62,living,Simple Future,Congruent,169,169,169,verb+3,5,6,livingSF,2290,Colin Firth is a British actor. He lives in London and Italy.,"He *will appear* in prominent* romantic comedies *in the future*, supposedly.",2.57446808510638
2,7,62,living,Simple Future,Congruent,690,690,690,verb+4,6,6,livingSF,2290,Colin Firth is a British actor. He lives in London and Italy.,"He *will appear* in prominent* romantic comedies *in the future*, supposedly.",2.57446808510638
2,7,62,living,Simple Future,Congruent,NA,NA,NA,end,7,6,livingSF,2290,Colin Firth is a British actor. He lives in London and Italy.,"He *will appear* in prominent* romantic comedies *in the future*, supposedly.",2.57446808510638
2,74,65,dead,Present Perfect,Incongruent,144,144,144,verb-1,1,7,deadPP,4049,Linda McCartney was an American singer. She died in Arizona.,"She *has worked* with well-known* music producers *in the past*, apparently.",2.57446808510638
2,74,65,dead,Present Perfect,Incongruent,245,162,306,verb,2,7,deadPP,4049,Linda McCartney was an American singer. She died in Arizona.,"She *has worked* with well-known* music producers *in the past*, apparently.",2.57446808510638
2,74,65,dead,Present Perfect,Incongruent,809,275,766,verb+1,3,7,deadPP,4049,Linda McCartney was an American singer. She died in Arizona.,"She *has worked* with well-known* music producers *in the past*, apparently.",2.57446808510638
2,74,65,dead,Present Perfect,Incongruent,630,232,756,verb+2,4,7,deadPP,4049,Linda McCartney was an American singer. She died in Arizona.,"She *has worked* with well-known* music producers *in the past*, apparently.",2.57446808510638
2,74,65,dead,Present Perfect,Incongruent,1009,308,308,verb+3,5,7,deadPP,4049,Linda McCartney was an American singer. She died in Arizona.,"She *has worked* with well-known* music producers *in the past*, apparently.",2.57446808510638
2,74,65,dead,Present Perfect,Incongruent,473,130,1174,verb+4,6,7,deadPP,4049,Linda McCartney was an American singer. She died in Arizona.,"She *has worked* with well-known* music producers *in the past*, apparently.",2.57446808510638
2,74,65,dead,Present Perfect,Incongruent,NA,NA,NA,end,7,7,deadPP,4049,Linda McCartney was an American singer. She died in Arizona.,"She *has worked* with well-known* music producers *in the past*, apparently.",2.57446808510638
2,43,68,living,Simple Future,Congruent,195,195,195,verb-1,1,6,livingSF,1797,Chimamanda Ngozi Adichi is a Nigerian author. She lives in Nigeria and the United States.,"She *will sell* well-received* books *in the future*, no doubt.",2.57446808510638
2,43,68,living,Simple Future,Congruent,196,196,196,verb,2,6,livingSF,1797,Chimamanda Ngozi Adichi is a Nigerian author. She lives in Nigeria and the United States.,"She *will sell* well-received* books *in the future*, no doubt.",2.57446808510638
2,43,68,living,Simple Future,Congruent,380,169,169,verb+1,3,6,livingSF,1797,Chimamanda Ngozi Adichi is a Nigerian author. She lives in Nigeria and the United States.,"She *will sell* well-received* books *in the future*, no doubt.",2.57446808510638
2,43,68,living,Simple Future,Congruent,118,118,329,verb+2,4,6,livingSF,1797,Chimamanda Ngozi Adichi is a Nigerian author. She lives in Nigeria and the United States.,"She *will sell* well-received* books *in the future*, no doubt.",2.57446808510638
2,43,68,living,Simple Future,Congruent,419,256,256,verb+3,5,6,livingSF,1797,Chimamanda Ngozi Adichi is a Nigerian author. She lives in Nigeria and the United States.,"She *will sell* well-received* books *in the future*, no doubt.",2.57446808510638
2,43,68,living,Simple Future,Congruent,200,200,363,verb+4,6,6,livingSF,1797,Chimamanda Ngozi Adichi is a Nigerian author. She lives in Nigeria and the United States.,"She *will sell* well-received* books *in the future*, no doubt.",2.57446808510638
2,43,68,living,Simple Future,Congruent,NA,NA,NA,end,7,6,livingSF,1797,Chimamanda Ngozi Adichi is a Nigerian author. She lives in Nigeria and the United States.,"She *will sell* well-received* books *in the future*, no doubt.",2.57446808510638
2,44,70,dead,Simple Future,Incongruent,225,225,225,verb-1,1,6,deadSF,2193,Nina Simone was an American singer. She died in Marseilles.,"She *will sell* critically acclaimed* records *in the future*, no doubt.",2.57446808510638
2,44,70,dead,Simple Future,Incongruent,442,173,173,verb,2,6,deadSF,2193,Nina Simone was an American singer. She died in Marseilles.,"She *will sell* critically acclaimed* records *in the future*, no doubt.",2.57446808510638
2,44,70,dead,Simple Future,Incongruent,564,216,833,verb+1,3,6,deadSF,2193,Nina Simone was an American singer. She died in Marseilles.,"She *will sell* critically acclaimed* records *in the future*, no doubt.",2.57446808510638
2,44,70,dead,Simple Future,Incongruent,151,151,151,verb+2,4,6,deadSF,2193,Nina Simone was an American singer. She died in Marseilles.,"She *will sell* critically acclaimed* records *in the future*, no doubt.",2.57446808510638
2,44,70,dead,Simple Future,Incongruent,317,317,317,verb+3,5,6,deadSF,2193,Nina Simone was an American singer. She died in Marseilles.,"She *will sell* critically acclaimed* records *in the future*, no doubt.",2.57446808510638
2,44,70,dead,Simple Future,Incongruent,151,151,151,verb+4,6,6,deadSF,2193,Nina Simone was an American singer. She died in Marseilles.,"She *will sell* critically acclaimed* records *in the future*, no doubt.",2.57446808510638
2,44,70,dead,Simple Future,Incongruent,NA,NA,NA,end,7,6,deadSF,2193,Nina Simone was an American singer. She died in Marseilles.,"She *will sell* critically acclaimed* records *in the future*, no doubt.",2.57446808510638
2,79,73,living,Simple Future,Congruent,223,223,223,verb-1,1,6,livingSF,2217,Angelina Jolie is an American actor. She lives in Los Angeles.,"She *will work* with well-known* directors *in the future*, apparently.",2.57446808510638
2,79,73,living,Simple Future,Congruent,177,177,177,verb,2,6,livingSF,2217,Angelina Jolie is an American actor. She lives in Los Angeles.,"She *will work* with well-known* directors *in the future*, apparently.",2.57446808510638
2,79,73,living,Simple Future,Congruent,495,177,177,verb+1,3,6,livingSF,2217,Angelina Jolie is an American actor. She lives in Los Angeles.,"She *will work* with well-known* directors *in the future*, apparently.",2.57446808510638
2,79,73,living,Simple Future,Congruent,211,211,529,verb+2,4,6,livingSF,2217,Angelina Jolie is an American actor. She lives in Los Angeles.,"She *will work* with well-known* directors *in the future*, apparently.",2.57446808510638
2,79,73,living,Simple Future,Congruent,270,270,270,verb+3,5,6,livingSF,2217,Angelina Jolie is an American actor. She lives in Los Angeles.,"She *will work* with well-known* directors *in the future*, apparently.",2.57446808510638
2,79,73,living,Simple Future,Congruent,591,591,591,verb+4,6,6,livingSF,2217,Angelina Jolie is an American actor. She lives in Los Angeles.,"She *will work* with well-known* directors *in the future*, apparently.",2.57446808510638
2,79,73,living,Simple Future,Congruent,NA,NA,NA,end,7,6,livingSF,2217,Angelina Jolie is an American actor. She lives in Los Angeles.,"She *will work* with well-known* directors *in the future*, apparently.",2.57446808510638
2,15,75,living,Simple Future,Congruent,NA,NA,NA,verb-1,1,6,livingSF,2022,Jennifer Lawrence is an American actor. She lives in Los Angeles.,"She *will perform* in critically acclaimed* Hollywood productions *in the future*, supposedly.",2.57446808510638
2,15,75,living,Simple Future,Congruent,252,169,169,verb,2,6,livingSF,2022,Jennifer Lawrence is an American actor. She lives in Los Angeles.,"She *will perform* in critically acclaimed* Hollywood productions *in the future*, supposedly.",2.57446808510638
2,15,75,living,Simple Future,Congruent,460,460,460,verb+1,3,6,livingSF,2022,Jennifer Lawrence is an American actor. She lives in Los Angeles.,"She *will perform* in critically acclaimed* Hollywood productions *in the future*, supposedly.",2.57446808510638
2,15,75,living,Simple Future,Congruent,339,339,339,verb+2,4,6,livingSF,2022,Jennifer Lawrence is an American actor. She lives in Los Angeles.,"She *will perform* in critically acclaimed* Hollywood productions *in the future*, supposedly.",2.57446808510638
2,15,75,living,Simple Future,Congruent,167,167,167,verb+3,5,6,livingSF,2022,Jennifer Lawrence is an American actor. She lives in Los Angeles.,"She *will perform* in critically acclaimed* Hollywood productions *in the future*, supposedly.",2.57446808510638
2,15,75,living,Simple Future,Congruent,NA,NA,NA,verb+4,6,6,livingSF,2022,Jennifer Lawrence is an American actor. She lives in Los Angeles.,"She *will perform* in critically acclaimed* Hollywood productions *in the future*, supposedly.",2.57446808510638
2,15,75,living,Simple Future,Congruent,521,151,1570,end,7,6,livingSF,2022,Jennifer Lawrence is an American actor. She lives in Los Angeles.,"She *will perform* in critically acclaimed* Hollywood productions *in the future*, supposedly.",2.57446808510638
2,4,78,dead,Simple Future,Incongruent,NA,NA,NA,verb-1,1,1,deadSF,1319,Brittany Murphy was an American actor. She died in Los Angeles.,"She *will appear* in prominent* teen dramas *in the future*, supposedly.",2.57446808510638
2,4,78,dead,Simple Future,Incongruent,178,178,178,verb,2,1,deadSF,1319,Brittany Murphy was an American actor. She died in Los Angeles.,"She *will appear* in prominent* teen dramas *in the future*, supposedly.",2.57446808510638
2,4,78,dead,Simple Future,Incongruent,184,184,184,verb+1,3,1,deadSF,1319,Brittany Murphy was an American actor. She died in Los Angeles.,"She *will appear* in prominent* teen dramas *in the future*, supposedly.",2.57446808510638
2,4,78,dead,Simple Future,Incongruent,283,283,283,verb+2,4,1,deadSF,1319,Brittany Murphy was an American actor. She died in Los Angeles.,"She *will appear* in prominent* teen dramas *in the future*, supposedly.",2.57446808510638
2,4,78,dead,Simple Future,Incongruent,NA,NA,NA,verb+3,5,1,deadSF,1319,Brittany Murphy was an American actor. She died in Los Angeles.,"She *will appear* in prominent* teen dramas *in the future*, supposedly.",2.57446808510638
2,4,78,dead,Simple Future,Incongruent,348,348,348,verb+4,6,1,deadSF,1319,Brittany Murphy was an American actor. She died in Los Angeles.,"She *will appear* in prominent* teen dramas *in the future*, supposedly.",2.57446808510638
2,4,78,dead,Simple Future,Incongruent,NA,NA,NA,end,7,1,deadSF,1319,Brittany Murphy was an American actor. She died in Los Angeles.,"She *will appear* in prominent* teen dramas *in the future*, supposedly.",2.57446808510638
2,47,81,living,Simple Future,Congruent,NA,NA,NA,verb-1,1,6,livingSF,1926,Diana Ross is an American singer. She lives in Conneticut.,"She *will sell* popular* solo albums *in the future*, no doubt.",2.57446808510638
2,47,81,living,Simple Future,Congruent,213,213,213,verb,2,6,livingSF,1926,Diana Ross is an American singer. She lives in Conneticut.,"She *will sell* popular* solo albums *in the future*, no doubt.",2.57446808510638
2,47,81,living,Simple Future,Congruent,174,174,174,verb+1,3,6,livingSF,1926,Diana Ross is an American singer. She lives in Conneticut.,"She *will sell* popular* solo albums *in the future*, no doubt.",2.57446808510638
2,47,81,living,Simple Future,Congruent,164,164,164,verb+2,4,6,livingSF,1926,Diana Ross is an American singer. She lives in Conneticut.,"She *will sell* popular* solo albums *in the future*, no doubt.",2.57446808510638
2,47,81,living,Simple Future,Congruent,462,462,462,verb+3,5,6,livingSF,1926,Diana Ross is an American singer. She lives in Conneticut.,"She *will sell* popular* solo albums *in the future*, no doubt.",2.57446808510638
2,47,81,living,Simple Future,Congruent,521,521,521,verb+4,6,6,livingSF,1926,Diana Ross is an American singer. She lives in Conneticut.,"She *will sell* popular* solo albums *in the future*, no doubt.",2.57446808510638
2,47,81,living,Simple Future,Congruent,NA,NA,NA,end,7,6,livingSF,1926,Diana Ross is an American singer. She lives in Conneticut.,"She *will sell* popular* solo albums *in the future*, no doubt.",2.57446808510638
2,53,83,living,Present Perfect,Congruent,NA,NA,NA,verb-1,1,6,livingPP,2344,Jim Carrey is a Canadian-American actor. He lives in Los Angeles.,"He *has starred* in numerous* stand-up specials *in the past*, no doubt.",2.57446808510638
2,53,83,living,Present Perfect,Congruent,NA,NA,NA,verb,2,6,livingPP,2344,Jim Carrey is a Canadian-American actor. He lives in Los Angeles.,"He *has starred* in numerous* stand-up specials *in the past*, no doubt.",2.57446808510638
2,53,83,living,Present Perfect,Congruent,240,240,240,verb+1,3,6,livingPP,2344,Jim Carrey is a Canadian-American actor. He lives in Los Angeles.,"He *has starred* in numerous* stand-up specials *in the past*, no doubt.",2.57446808510638
2,53,83,living,Present Perfect,Congruent,474,474,474,verb+2,4,6,livingPP,2344,Jim Carrey is a Canadian-American actor. He lives in Los Angeles.,"He *has starred* in numerous* stand-up specials *in the past*, no doubt.",2.57446808510638
2,53,83,living,Present Perfect,Congruent,301,301,301,verb+3,5,6,livingPP,2344,Jim Carrey is a Canadian-American actor. He lives in Los Angeles.,"He *has starred* in numerous* stand-up specials *in the past*, no doubt.",2.57446808510638
2,53,83,living,Present Perfect,Congruent,700,700,700,verb+4,6,6,livingPP,2344,Jim Carrey is a Canadian-American actor. He lives in Los Angeles.,"He *has starred* in numerous* stand-up specials *in the past*, no doubt.",2.57446808510638
2,53,83,living,Present Perfect,Congruent,NA,NA,NA,end,7,6,livingPP,2344,Jim Carrey is a Canadian-American actor. He lives in Los Angeles.,"He *has starred* in numerous* stand-up specials *in the past*, no doubt.",2.57446808510638
2,19,86,living,Simple Future,Congruent,NA,NA,NA,verb-1,1,4,livingSF,2267,David Beckham is a British athlete. He lives in Miami.,"He *will play* on prominent* football teams *in the future*, supposedly.",2.57446808510638
2,19,86,living,Simple Future,Congruent,224,224,224,verb,2,4,livingSF,2267,David Beckham is a British athlete. He lives in Miami.,"He *will play* on prominent* football teams *in the future*, supposedly.",2.57446808510638
2,19,86,living,Simple Future,Congruent,472,324,324,verb+1,3,4,livingSF,2267,David Beckham is a British athlete. He lives in Miami.,"He *will play* on prominent* football teams *in the future*, supposedly.",2.57446808510638
2,19,86,living,Simple Future,Congruent,271,271,271,verb+2,4,4,livingSF,2267,David Beckham is a British athlete. He lives in Miami.,"He *will play* on prominent* football teams *in the future*, supposedly.",2.57446808510638
2,19,86,living,Simple Future,Congruent,348,348,496,verb+3,5,4,livingSF,2267,David Beckham is a British athlete. He lives in Miami.,"He *will play* on prominent* football teams *in the future*, supposedly.",2.57446808510638
2,19,86,living,Simple Future,Congruent,193,193,689,verb+4,6,4,livingSF,2267,David Beckham is a British athlete. He lives in Miami.,"He *will play* on prominent* football teams *in the future*, supposedly.",2.57446808510638
2,19,86,living,Simple Future,Congruent,NA,NA,NA,end,7,4,livingSF,2267,David Beckham is a British athlete. He lives in Miami.,"He *will play* on prominent* football teams *in the future*, supposedly.",2.57446808510638
2,17,88,living,Present Perfect,Congruent,NA,NA,NA,verb-1,1,6,livingPP,3043,Katy Perry is an American singer. She lives in Los Angeles.,"She *has played* in notable* stadiums *in the past*, supposedly.",2.57446808510638
2,17,88,living,Present Perfect,Congruent,690,319,319,verb,2,6,livingPP,3043,Katy Perry is an American singer. She lives in Los Angeles.,"She *has played* in notable* stadiums *in the past*, supposedly.",2.57446808510638
